1,2,3,4,5
-0.038887434,-0.6312983,3.2711918,-0.272218,-1.089581
-0.036239944,-0.6313208,3.2873003,-0.45936567,-0.7689689
-0.037976563,-0.63109577,3.295871,-0.3596858,-0.97934395
-0.037447646,-0.6313473,3.2577343,-0.33407563,-0.9152345
-0.03921088,-0.63134724,3.2753766,-0.5069302,-1.1287888
-0.03493234,-0.6313933,3.313477,-0.2150543,-0.6108204
-0.036239944,-0.6313208,3.2873003,-0.45936567,-0.7689689
-0.037976563,-0.63109577,3.295871,-0.3596858,-0.97934395
-0.037447646,-0.6313473,3.2577343,-0.33407563,-0.9152345
-0.03921088,-0.63134724,3.2753766,-0.5069302,-1.1287888
-0.03493234,-0.6313933,3.313477,-0.2150543,-0.6108204
-0.038782433,-0.6313439,3.289798,-0.16634493,-1.0768471
-0.037976563,-0.63109577,3.295871,-0.3596858,-0.97934395
-0.037447646,-0.6313473,3.2577343,-0.33407563,-0.9152345
-0.03921088,-0.63134724,3.2753766,-0.5069302,-1.1287888
-0.03493234,-0.6313933,3.313477,-0.2150543,-0.6108204
-0.038782433,-0.6313439,3.289798,-0.16634493,-1.0768471
-0.035494067,-0.6311855,3.291102,-0.41467962,-0.678671
-0.037447646,-0.6313473,3.2577343,-0.33407563,-0.9152345
-0.03921088,-0.63134724,3.2753766,-0.5069302,-1.1287888
-0.03493234,-0.6313933,3.313477,-0.2150543,-0.6108204
-0.038782433,-0.6313439,3.289798,-0.16634493,-1.0768471
-0.035494067,-0.6311855,3.291102,-0.41467962,-0.678671
-0.037467178,-0.63078874,3.2721646,-0.46094212,-0.9176611
-0.03921088,-0.63134724,3.2753766,-0.5069302,-1.1287888
-0.03493234,-0.6313933,3.313477,-0.2150543,-0.6108204
-0.038782433,-0.6313439,3.289798,-0.16634493,-1.0768471
-0.035494067,-0.6311855,3.291102,-0.41467962,-0.678671
-0.037467178,-0.63078874,3.2721646,-0.46094212,-0.9176611
-0.041940875,-0.6310622,3.286762,-0.47552457,-1.4593414
-0.03493234,-0.6313933,3.313477,-0.2150543,-0.6108204
-0.038782433,-0.6313439,3.289798,-0.16634493,-1.0768471
-0.035494067,-0.6311855,3.291102,-0.41467962,-0.678671
-0.037467178,-0.63078874,3.2721646,-0.46094212,-0.9176611
-0.041940875,-0.6310622,3.286762,-0.47552457,-1.4593414
-0.03377565,-0.62080866,3.2441492,-0.5087481,-0.48290548
-0.038782433,-0.6313439,3.289798,-0.16634493,-1.0768471
-0.035494067,-0.6311855,3.291102,-0.41467962,-0.678671
-0.037467178,-0.63078874,3.2721646,-0.46094212,-0.9176611
-0.041940875,-0.6310622,3.286762,-0.47552457,-1.4593414
-0.03377565,-0.62080866,3.2441492,-0.5087481,-0.48290548
-0.035288867,-0.6184194,3.2482035,-0.5513154,-0.68834275
-0.035494067,-0.6311855,3.291102,-0.41467962,-0.678671
-0.037467178,-0.63078874,3.2721646,-0.46094212,-0.9176611
-0.041940875,-0.6310622,3.286762,-0.47552457,-1.4593414
-0.03377565,-0.62080866,3.2441492,-0.5087481,-0.48290548
-0.035288867,-0.6184194,3.2482035,-0.5513154,-0.68834275
-0.040292047,-0.61569136,3.2319977,-0.65959394,-1.2613896
